"K620","重庆北","北京西","05:19"
"D124","汉口","北京西","07:10"
"D126","汉口","北京西","08:11"
"Z78","汉口","北京西","20:24"
"Z4","汉口","北京西","21:12"
"K677","南京西","成都","00:10"
"K961","汉口","成都","10:35"
"K723","南京西","成都","16:49"
"T251","武汉","成都","18:10"
"D357","上海虹桥","成都","22:00"
"K697","上海","成都","22:27"
"T6703","广水","赤壁","09:54"
"K370","汉口","大连","08:35"
"T6702","武昌","广水","06:26"
"L8072","武昌","广水","11:24"
"T182","汉口","哈尔滨","15:41"
"D3083","合肥","汉口","11:03"
"L8076","荆门","汉口","17:40"
"2613","连云港东","汉口","05:26"
"D3247","南昌","汉口","15:10"
"D3230","南昌","汉口","21:46"
"D3053","南京","汉口","15:56"
"1113","青岛","汉口","11:29"
"D3065","上海虹桥","汉口","13:46"
"D3061","上海虹桥","汉口","15:47"
"D3039","上海虹桥","汉口","19:38"
"D3033","上海虹桥","汉口","19:47"
"D3006","上海虹桥","汉口","19:00"
"D3011","上海虹桥","汉口","20:56"
"D3042","上海虹桥","汉口","21:34"
"D3015","上海虹桥","汉口","22:23"
"D3023","上海虹桥","汉口","22:41"
"D3047","上海虹桥","汉口","23:01"
"K381","泰州","汉口","07:01"
"1065","威海","汉口","05:37"
"T191","乌鲁木齐","汉口","11:36"
"D5218","襄樊","汉口","20:54"
"L8052","宜昌东","汉口","22:48"
"D3084","汉口","合肥","19:20"
"L8075","汉口","荆门","08:00"
"K8135","武汉","荆门","15:34"
"T6717","武汉","利川","23:00"
"2614","汉口","连云港东","18:40"
"D3221","汉口","南昌","09:00"
"D3248","汉口","南昌","15:35"
"D3054","汉口","南京","08:11"
"D3078","武昌","南京","17:16"
"K678","成都","南京西","04:23"
"K724","成都","南京西","12:08"
"T5","北京西","南宁","03:44"
"1114","汉口","青岛","16:54"
"K698","成都","上海","06:12"
"D358","成都","上海虹桥","04:11"
"D354","重庆北","上海虹桥","04:17"
"D3008","汉口","上海虹桥","08:00"
"D3040","汉口","上海虹桥","08:43"
"D3034","汉口","上海虹桥","09:05"
"D3016","汉口","上海虹桥","11:21"
"D3066","汉口","上海虹桥","14:08"
"D3062","汉口","上海虹桥","16:15"
"D3004","汉口","上海虹桥","16:45"
"K752","汉口","上海南","15:20"
"D5211","汉口","十堰","09:00"
"K382","汉口","泰州","19:46"
"1066","汉口","威海","06:46"
"T192","汉口","乌鲁木齐","19:10"
"K1514","宜昌","无锡","03:48"
"L8071","广水","武昌","17:22"
"T258","重庆","武汉","05:36"
"T252","成都","武汉","07:15"
"K8136","荆门","武汉","11:44"
"K8062","襄樊","武汉","12:00"
"K8044","宜昌","武汉","12:38"
"D5212","十堰","武汉","15:30"
"T6718","利川","武汉","16:00"
"K8061","武汉","襄樊","14:55"
"D5217","武汉","襄樊","16:40"
"K1513","无锡","宜昌","00:36"
"K8043","武汉","宜昌","15:03"
"T257","武汉","重庆","17:21"
"K619","北京西","重庆北","15:52"
"D353","上海虹桥","重庆北","21:55"
"D125","北京西","汉口","21:24"
"D121","北京西","汉口","23:28"
"Z3","北京西","汉口","06:34"
"Z77","北京西","汉口","07:08"
"K962","成都","汉口","14:54"
"K369","大连","汉口","17:17"
"K921","广州东","汉口","06:27"
"T181","哈尔滨","汉口","11:41"
"L8051","汉口","宜昌东","11:10"
