"个人客户","-","-","2011-03-19T21:21:55","2011-03-19T21:21:55","0","4","60","0.0"
"重点客户","-","-","2011-03-19T21:22:14","2011-03-19T21:22:14","0","3","53","0.0"
"集团客户","-","-","2010-12-14T00:00:00","2010-12-14T00:00:00","0","1","2","0.0"
"个人客户","团体卡","-","2010-12-14T00:00:00","2010-12-14T00:00:00","0","1","2","0.0"
"个人客户","团体金卡","-","2010-12-14T00:00:00","2010-12-14T00:00:00","0","1","2","0.0"
"个人客户","散客","-","2010-12-14T00:00:00","2010-12-14T00:00:00","0","1","2","0.0"
"重点客户","省市","-","2010-12-14T00:00:00","2010-12-14T00:00:00","0","1","2","0.0"
"重点客户","站领导","-","2010-12-14T00:00:00","2010-12-14T00:00:00","0","1","2","0.0"
"重点客户","部队","-","2010-12-14T00:00:00","2010-12-14T00:00:00","0","1","2","0.0"
"集团客户","中信银行","-","2011-03-19T21:23:13","2011-03-19T21:23:13","0","37","29","0.0"
"集团客户","中国移动","-","2011-03-20T15:04:26","2011-03-20T15:04:26","0","48","78","0.0"
"集团客户","中国联通","-","2011-03-20T15:04:40","2011-03-20T15:04:40","0","47","74","0.0"
"集团客户","交通银行","-","2011-03-19T21:24:02","2011-03-19T21:24:02","0","35","21","0.0"
"集团客户","光大银行","-","2011-03-19T21:24:14","2011-03-19T21:24:14","0","40","18","0.0"
"集团客户","农业银行","-","2011-03-19T21:24:29","2011-03-19T21:24:29","0","33","23","0.0"
"集团客户","建设银行","-","2011-03-19T21:24:57","2011-03-19T21:24:57","0","10","20","0.0"
"集团客户","招商银行","-","2011-03-19T21:25:11","2011-03-19T21:25:11","0","38","27","0.0"
"集团客户","民生银行","-","2011-03-19T21:25:38","2011-03-19T21:25:38","0","42","2","0.0"
"集团客户","浦发银行","-","2011-03-20T15:05:45","2011-03-20T15:05:45","0","46","24","0.0"
"集团客户","电信","-","2011-03-20T15:04:02","2011-03-20T15:04:02","0","10","73","0.0"
"个人客户","散客","1人","2006-12-30T00:00:00","2007-12-30T00:00:00","1","1","2","0.0"
"个人客户","团体卡","中石化销售中南分公司","2011-02-26T10:46:33","2011-02-26T10:46:33","5","1","2","0.0"
"个人客户","团体卡","湖北省发展和改革委员会","2007-06-21T00:00:00","2011-06-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","武汉江岸车辆厂","2007-04-19T00:00:00","2011-04-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","凌云集团","2007-03-28T00:00:00","2011-03-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","国电有限公司武汉分公司","2007-04-18T00:00:00","2011-04-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","人保财产股份公司湖北分公司","2008-01-17T00:00:00","2011-01-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","军事经济学院院办","2007-09-11T00:00:00","2011-09-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","武昌车辆厂","2007-12-26T00:00:00","2011-12-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","二炮指挥学院科研部","2008-03-12T00:00:00","2011-03-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","军事经济学院院务部营房处","2011-02-26T10:46:27","2011-02-26T10:46:27","5","1","2","0.0"
"个人客户","团体卡","军事经济学院训练部","2007-12-19T00:00:00","2011-12-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","中力集团７１","2008-02-01T00:00:00","2011-02-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","中力集团７２","2008-02-01T00:00:00","2011-02-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","中力集团７３","2008-02-01T00:00:00","2011-02-01T00:00:00","5","1","2","0.0"
"个人客户","团体卡","中力集团７５","2008-02-01T00:00:00","2011-02-01T00:00:00","5","1","2","0.0"
